Site,Product_Group,Truck_Appointment_Date,BL_weight,Freight_Amount
AMAZ,SW,2024-10-22,221886.0,21424.3
AMAZ,SW,2024-10-23,255391.0,15101.09
AMAZ,SW,2024-10-24,31516.0,5365.09
AMAZ,SW,2024-10-25,168437.0,19031.16
AMAZ,SW,2024-10-28,174575.0,3466.5299999999997
AMAZ,SW,2024-10-29,237132.0,10886.9
AMAZ,SW,2024-10-30,232723.0,10657.99
AMAZ,SW,2024-10-31,166474.0,8361.8
AMAZ,SW,2024-11-01,112065.0,8319.1
AMAZ,SW,2024-11-03,5055.0,0.0
AMAZ,SW,2024-11-04,235401.0,8582.07
AMAZ,SW,2024-11-05,136908.0,6749.1
AMAZ,SW,2024-11-06,48045.0,2577.0
AMAZ,SW,2024-11-07,130599.0,6255.879999999999
AMAZ,SW,2024-11-08,63789.0,5538.97
AMAZ,SW,2024-11-11,159613.0,5963.4
AMAZ,SW,2024-11-12,160448.0,4465.83
AMAZ,SW,2024-11-13,146594.0,8802.02
AMAZ,SW,2024-11-14,136817.0,5462.4400000000005
AMAZ,SW,2024-11-16,119510.0,14620.7
AMAZ,SW,2024-11-18,199582.0,12561.64
AMAZ,SW,2024-11-19,172303.0,3721.82
AMAZ,SW,2024-11-20,210654.0,8527.0
AMAZ,SW,2024-11-21,119168.0,6556.29
AMAZ,SW,2024-11-22,123594.0,8107.82
AMAZ,SW,2024-11-25,122075.0,5817.97
AMAZ,SW,2024-11-26,181127.0,6541.7
AMAZ,SW,2024-11-27,323440.0,29590.64
AMAZ,SW,2024-11-30,28379.0,810.48
AMAZ,SW,2024-12-02,42214.0,3057.26
AMAZ,SW,2024-12-03,194548.0,5825.4400000000005
AMAZ,SW,2024-12-04,289816.0,16280.279999999999
AMAZ,SW,2024-12-05,86316.0,6714.400000000001
AMAZ,SW,2024-12-06,107065.0,10810.83
AMAZ,SW,2024-12-08,23261.0,895.0
AMAZ,SW,2024-12-09,223486.0,13526.33
AMAZ,SW,2024-12-10,200749.0,15336.77
AMAZ,SW,2024-12-11,269745.0,18987.88
AMAZ,SW,2024-12-12,115881.0,6408.13
AMAZ,SW,2024-12-13,119064.0,7524.820000000001
AMAZ,SW,2024-12-14,113325.0,3297.44
AMAZ,SW,2024-12-16,149791.0,4422.77
AMAZ,SW,2024-12-17,222630.0,11373.33
AMAZ,SW,2024-12-18,201258.0,15813.529999999999
AMAZ,SW,2024-12-19,126788.0,2957.95
AMAZ,SW,2024-12-20,254447.0,20183.71
AMAZ,SW,2024-12-26,48104.0,5729.1
AMAZ,SW,2024-12-27,197341.0,12596.369999999999
AMAZ,SW,2024-12-28,86599.0,9363.400000000001
